,side,teamname,team kpm,dragons,barons,towers,dpm,vspm,earned gpm,wcpm,cspm,xpat15,goldat15,result
1213,Red,Anyone's Legend.Young,0.6726,2.0,2.0,5.0,3007.5105,8.6035,1264.4278,1.9617,32.54324401913876,29876.795454545456,25044.644736842107,0
1214,Blue,Weibo Gaming,0.1314,1.0,0.0,3.0,1505.8817,8.839,971.9934,1.4786,32.54324401913876,29876.795454545456,25044.644736842107,0
1215,Red,LNG Esports,0.3943,4.0,1.0,8.0,2239.9124,8.1161,1202.4315,1.5444,32.54324401913876,29876.795454545456,25044.644736842107,1
1216,Blue,FearX,0.3385,3.0,2.0,10.0,2492.3836,10.4372,1200.8463,2.1439,32.6657,28916.0,22539.0,1
1217,Red,Nongshim RedForce,0.1693,1.0,0.0,3.0,1823.9492,10.7475,982.1439,2.2849,33.0889,31975.0,25838.0,0
1218,Blue,PSG Talon,0.726,3.0,1.0,11.0,3129.147,8.6388,1416.3339,1.3793,33.6479,30550.0,24836.0,1
1219,Red,West Point Esports,0.2178,0.0,0.0,1.0,1974.7731,5.118,931.5789,0.726,29.4737,28653.0,23492.0,0
1220,Blue,CERBERUS Esports,0.4598,2.0,2.0,10.0,2568.6845,9.6041,1246.6411,1.8646,29.7318,30189.0,25624.0,0
1221,Red,GAM Esports,0.5109,4.0,0.0,8.0,2568.2248,8.2248,1223.908,1.8391,32.4138,29585.0,24910.0,1
1222,Blue,LNG Esports,0.4441,2.0,2.0,11.0,2394.4885,10.6051,1319.3992,2.3248,32.54324401913876,29876.795454545456,25044.644736842107,1
1223,Red,Weibo Gaming,0.2351,3.0,0.0,2.0,2152.66,8.4632,1027.9408,1.8546,32.54324401913876,29876.795454545456,25044.644736842107,0
1224,Blue,PSG Talon,0.5361,1.0,1.0,11.0,2412.023,7.1985,1386.2029,1.5699,33.1589,29118.0,24278.0,1
1225,Red,West Point Esports,0.3446,3.0,0.0,3.0,2123.7779,7.7345,1045.4627,1.3401,31.0147,28342.0,25088.0,0
1226,Blue,Dark Passage,0.6719,3.0,2.0,11.0,3256.9722,8.3119,1287.3248,1.2941,30.0871,30389.0,24515.0,1
1227,Red,NASR eSports Turkey,0.3235,2.0,0.0,3.0,2474.7574,8.0133,973.9859,1.4185,30.2364,30529.0,23334.0,0
1228,Blue,SK Gaming Prime,1.4758,1.0,0.0,10.0,3375.3574,5.6264,1629.8232,0.5534,32.329,30133.0,29666.0,1
1229,Red,FC Schalke 04 Esports,0.2767,0.0,0.0,0.0,2082.1061,5.1191,929.4696,0.5073,29.3774,26297.0,22512.0,0
1230,Blue,GameWard,0.1664,2.0,1.0,3.0,2259.5656,8.7338,907.0702,1.5527,29.0018,30644.0,24587.0,0
